Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist
778,0.106,0.653,184538,0.781,0.568,0,0.596,-7.433,1,0.0376,101.029,4.0,0.49,1,Accelerate,Jungle
1128,0.0983,0.648,223800,0.833,0.001,11,0.127,-5.116,1,0.0543,108.001,4.0,0.301,0,Young And Menace,Fall Out Boy
847,0.0043,0.894,376000,0.676,0.348,8,0.425,-9.707,1,0.0979,121.0,4.0,0.715,1,Make It,Patrick Di Stefano
1017,0.329,0.673,213251,0.922,0.0,4,0.0924,-5.311,1,0.217,140.008,4.0,0.364,1,Man Don't Care,Jme
143,0.0252,0.34,147467,0.805,0.0,7,0.138,-3.397,1,0.0387,167.922,4.0,0.654,1,Don't Wanna Lose,Ex Hex
675,0.0352,0.697,172760,0.682,0.0,7,0.664,-9.022,1,0.219,155.742,4.0,0.672,1,Players Anthem,UGK
1831,0.43,0.794,319307,0.798,1.15e-05,8,0.114,-5.639,1,0.0366,100.338,4.0,0.268,0,Man In The Mirror,Michael Jackson
1231,0.0495,0.547,187013,0.513,0.0,0,0.181,-7.451,1,0.0309,110.54,4.0,0.262,0,Broken Things,Matthew West
1699,0.000501,0.581,197160,0.86,0.0,10,0.305,-3.459,1,0.036,122.941,4.0,0.48,0,Bad Boys,Victorious Cast
557,0.0985,0.647,277375,0.841,0.0,10,0.897,-2.507,1,0.164,139.963,4.0,0.886,1,Blueberry (Pills & Cocaine) (feat. Danny Brown),Darq E Freaker
424,0.00914,0.385,180493,0.902,0.522,7,0.317,-5.464,1,0.098,159.939,4.0,0.52,1,Comeback Kid,Sleigh Bells
2008,0.0541,0.646,160408,0.714,0.0,0,0.134,-6.511,1,0.0378,97.957,4.0,0.589,0,"Call On Me - EDWYNN X TIKAL, Spirix Remix",Starley
1430,0.00551,0.562,228414,0.885,0.805,8,0.0621,-3.096,1,0.0431,145.06,4.0,0.679,0,Home,Marshmello
543,0.0372,0.638,210160,0.897,0.00748,7,0.0691,-5.78,0,0.0504,133.948,4.0,0.915,1,Keep You,Wild Belle
1219,0.0196,0.592,206880,0.752,0.0,1,0.0477,-6.589,1,0.114,74.784,4.0,0.73,0,Stitches,Shawn Mendes
400,0.785,0.6,299711,0.413,0.0289,7,0.109,-9.572,1,0.0258,93.618,4.0,0.0768,1,Hunger Of The Pine,alt-J
1063,0.463,0.731,165387,0.469,1.04e-06,5,0.103,-7.226,1,0.0326,98.963,4.0,0.618,0,Body Like A Back Road,Sam Hunt
150,0.0648,0.855,310907,0.638,0.0,9,0.162,-4.968,0,0.143,122.967,4.0,0.433,1,All Day,Kanye West
865,0.0491,0.703,194147,0.464,0.0,6,0.146,-5.977,0,0.118,95.012,4.0,0.689,1,Your Love,Mick Jenkins
685,0.475,0.599,228467,0.533,0.00153,9,0.235,-14.032,0,0.0472,122.262,4.0,0.609,1,I Follow Rivers,Lykke Li
1648,0.00354,0.568,196000,0.928,0.0211,10,0.478,-3.556,1,0.045,122.997,4.0,0.57,0,Starlight - Radio Mix,SOVI
295,0.127,0.479,278147,0.609,0.0,11,0.0815,-8.678,0,0.236,107.699,5.0,0.522,1,I'm Ya Dogg,Snoop Dogg
16,0.0239,0.603,270827,0.955,0.0451,1,0.119,-4.111,1,0.0458,123.922,4.0,0.773,1,World In Motion,New Order
1733,0.0264,0.815,283934,0.944,0.00038,1,0.181,-6.698,1,0.0513,115.219,4.0,0.681,0,Escapade,Janet Jackson
1950,0.707,0.433,281253,0.364,3.75e-06,4,0.171,-8.842,1,0.0293,98.981,1.0,0.0384,0,"My Heart Will Go On (Love Theme from ""Titanic"")",Céline Dion
1282,0.183,0.389,297320,0.525,0.0,9,0.308,-7.941,1,0.0403,143.919,3.0,0.0963,0,The Cause Of Christ,Kari Jobe
471,0.00241,0.85,205663,0.664,0.0672,0,0.192,-9.141,1,0.105,126.018,4.0,0.584,1,Flashing Lights,DJ Ayres
164,0.0682,0.557,293910,0.608,0.0263,5,0.196,-7.657,0,0.0862,109.67,4.0,0.211,1,Papi Pacify,FKA twigs
1829,0.11,0.758,198507,0.927,0.0285,9,0.374,-2.768,1,0.0509,115.076,4.0,0.953,0,Black or White - Single Version,Michael Jackson
1966,0.483,0.687,152400,0.724,0.0,7,0.057,-4.206,1,0.069,139.705,4.0,0.974,0,"To Roz Bikini (Itsy, Bitsy, Teenie, Weenie)",Polina
692,0.422,0.422,260276,0.641,0.0,10,0.317,-4.947,0,0.323,187.027,3.0,0.668,1,"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko
1490,0.00377,0.61,176111,0.747,0.0,11,0.0662,-4.25,0,0.0531,129.976,4.0,0.443,0,Middle Of The Night,The Vamps
1414,0.0451,0.592,280615,0.701,0.0,10,0.327,-4.014,0,0.0858,129.501,4.0,0.299,0,Litty (feat. Tory Lanez),Meek Mill
288,0.00564,0.521,208613,0.888,0.0226,8,0.0633,-5.197,1,0.0357,81.971,4.0,0.264,1,"The New International Sound, Pt. 2 (feat. M.I.A.)",GENER8ION
986,0.0739,0.833,301240,0.663,0.00351,2,0.0814,-3.639,1,0.105,103.693,4.0,0.457,1,Hood Pass Intact,Dâm-Funk
1815,0.4,0.679,266867,0.657,0.0,5,0.0497,-9.897,1,0.0255,97.8,4.0,0.558,0,Hold On,Wilson Phillips
430,0.0212,0.597,260467,0.798,0.473,5,0.143,-5.307,1,0.0367,99.999,4.0,0.383,1,Second Song,TV On The Radio
517,0.0833,0.852,237533,0.523,0.0,5,0.106,-6.716,0,0.032,130.154,4.0,0.648,1,Two Of Hearts,Stacey Q
79,0.00502,0.429,196933,0.725,1.54e-05,2,0.266,-6.156,1,0.0371,82.925,4.0,0.174,1,To The Top,Twin Shadow
1585,0.0071,0.498,106680,0.721,0.0,4,0.122,-6.695,1,0.0327,93.31,4.0,0.673,0,Jelly Beans,The Hipwaders
1390,0.368,0.717,232944,0.844,1.93e-05,1,0.255,-5.363,0,0.0299,110.023,4.0,0.825,0,Sneakers,Humming Urban Stereo
1394,0.508,0.597,210893,0.575,0.0,10,0.265,-3.705,1,0.0341,85.018,4.0,0.516,0,"Love, Love.",Big Brain
564,0.139,0.701,261120,0.822,0.0526,6,0.0726,-6.13,1,0.0366,129.03,4.0,0.739,1,Vowels = space and time,Grimes
209,0.00471,0.542,227160,0.799,0.0161,4,0.0814,-3.641,0,0.0354,92.215,4.0,0.426,1,Black Out Days,Phantogram
1947,0.674,0.528,182213,0.271,0.0,3,0.19,-12.762,1,0.0299,136.08,4.0,0.49,0,There's No One Quite Like Grandma - 2003 Remastered Version,St. Winifred's School Choir
1022,0.013,0.631,187813,0.716,0.0,10,0.0756,-5.713,1,0.0432,88.541,4.0,0.637,0,Sleep Without You,Brett Young
896,0.00431,0.808,362282,0.916,0.598,10,0.0445,-4.54,1,0.0635,121.99,4.0,0.69,1,Chunky - Club Mix,Format:B
1646,0.0583,0.516,174500,0.786,1.77e-06,4,0.662,-5.514,0,0.106,130.069,4.0,0.182,0,Everything,R3hab
467,0.000419,0.823,259680,0.811,0.0745,1,0.176,-6.158,1,0.0661,104.63,4.0,0.718,1,How Do You See Me Now,Zdar
1444,0.00518,0.718,148801,0.944,0.477,1,0.114,-5.041,1,0.0386,125.004,4.0,0.328,0,All I Know,EDX
955,0.411,0.236,186426,0.706,5.43e-06,0,0.953,-6.544,1,0.0601,105.624,3.0,0.313,1,You Are My Special Angel,The Vogues
1131,0.0313,0.561,186827,0.927,2.34e-05,9,0.529,-4.374,0,0.0619,152.011,4.0,0.562,0,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
945,0.016,0.646,142584,0.757,0.0243,7,0.112,-6.089,1,0.101,108.438,4.0,0.635,1,The Spirit Blossoms All Over the Land,Onra
616,0.00706,0.586,245733,0.915,0.236,6,0.192,-6.264,1,0.031,117.99,4.0,0.747,1,Saturday Love,Toro y Moi
25,0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,4.0,0.795,1,This Ready Flesh,TR/ST
65,0.00266,0.557,186397,0.607,0.771,0,0.33,-10.088,1,0.0578,73.061,4.0,0.259,1,Sentimental Trash,Sweet Valley
1707,0.226,0.546,231240,0.522,0.0,4,0.129,-7.113,1,0.0361,117.299,4.0,0.494,0,Without Me,Kina Grannis
1832,0.23,0.888,238733,0.815,0.000424,11,0.127,-4.909,0,0.0404,127.273,4.0,0.96,0,P.Y.T. (Pretty Young Thing),Michael Jackson
1526,0.967,0.296,340507,0.0709,0.804,3,0.105,-14.832,0,0.0312,95.028,4.0,0.066,0,So Lovely,Ben Wolfe
614,0.769,0.808,118353,0.593,2.07e-06,1,0.111,-9.395,1,0.344,89.876,4.0,0.88,1,36 Chamber Flow,Flatbush Zombies
1307,1.01e-05,0.404,224812,0.989,0.556,2,0.536,-1.374,1,0.184,94.291,4.0,0.153,0,Fauxhammer,Black Tongue
693,0.268,0.651,182384,0.773,0.0,6,0.172,-6.855,0,0.262,129.882,4.0,0.418,1,Now You Do,A-1
464,0.00947,0.718,171933,0.844,0.711,8,0.122,-8.045,1,0.0581,94.988,4.0,0.54,1,The Yes Strut,Teams vs. Star Slinger
1258,0.0218,0.534,168040,0.933,0.0,6,0.159,-4.021,1,0.0781,174.081,4.0,0.783,0,Bloom,Grayson Reed
510,0.122,0.817,220987,0.528,0.0,1,0.284,-6.551,1,0.0656,100.997,4.0,0.161,1,Slow Down,Clyde Carson
1705,0.167,0.631,253107,0.591,0.0,11,0.0812,-7.669,1,0.0333,137.917,4.0,0.459,0,Gone,Kina Grannis
719,0.0151,0.502,255632,0.732,0.000119,1,0.0897,-5.45,1,0.168,122.025,4.0,0.529,1,Latch,Disclosure
1604,0.0841,0.757,175238,0.867,0.0992,0,0.125,-2.529,0,0.0362,125.962,4.0,0.518,0,Magic City,Wahlstedt
881,4.61e-06,0.479,230560,0.854,5.72e-05,11,0.372,-6.101,1,0.0405,136.067,4.0,0.55,1,Pedestrian at Best,Courtney Barnett
513,0.229,0.485,330920,0.793,0.784,0,0.406,-8.693,1,0.0573,131.951,4.0,0.295,1,Best Night,The War On Drugs
1377,0.224,0.657,230000,0.536,0.00432,4,0.352,-7.073,1,0.0303,119.95,4.0,0.184,0,Romance in Seoul,Neon Bunny
620,0.116,0.671,239613,0.73,0.000356,8,0.201,-6.773,1,0.0369,112.011,4.0,0.302,1,Lofticries,Purity Ring
963,0.543,0.785,196570,0.796,0.291,5,0.108,-5.815,0,0.0379,136.05,4.0,0.806,1,Cane Shuga,Glass Animals
441,0.00096,0.573,256800,0.946,0.00191,7,0.115,-5.065,1,0.377,151.817,4.0,0.769,1,Michael Jackson,Das Racist
600,0.423,0.786,267160,0.525,0.461,1,0.0876,-8.271,0,0.0388,128.014,4.0,0.43,1,Borderline,Classixx
704,0.00723,0.743,259683,0.633,0.0,9,0.246,-8.224,1,0.235,85.041,4.0,0.398,1,Marc Jacobs,Riff Raff
723,0.591,0.624,251627,0.724,7.79e-06,10,0.101,-7.113,1,0.101,78.008,4.0,0.62,1,Step,Vampire Weekend
1789,0.268,0.562,235947,0.659,0.0,10,0.133,-5.234,1,0.0824,87.539,4.0,0.246,0,Pyramid (feat. Iyaz),Charice
845,0.000641,0.787,520311,0.679,0.912,7,0.0618,-12.377,1,0.0534,117.501,3.0,0.214,1,Taifa - The Emperor Machine Mix,Partial Arts
1779,0.0382,0.518,300573,0.666,2.47e-05,0,0.289,-5.306,1,0.0313,130.048,4.0,0.254,0,Summer Is Over feat. Sara Bareilles,Jon McLaughlin
68,0.125,0.726,334173,0.497,0.89,10,0.104,-10.742,0,0.0433,125.004,4.0,0.472,1,Our Love,Caribou
803,0.605,0.583,263397,0.515,0.000691,11,0.0931,-9.283,0,0.0571,115.732,4.0,0.621,1,Way to be Loved,TOPS
175,0.0789,0.577,355881,0.941,0.207,10,0.342,-4.338,1,0.0422,99.995,4.0,0.381,1,Let Me Show You Love,Cut Copy
89,0.0397,0.786,302840,0.547,0.272,1,0.0378,-11.416,1,0.262,92.603,4.0,0.68,1,Sugah Daddy,D'Angelo
172,0.0246,0.586,374133,0.806,0.000167,1,0.353,-9.542,1,0.0548,110.325,4.0,0.207,1,Her Fantasy,Matthew Dear
117,0.00257,0.896,267024,0.623,0.000258,2,0.039,-8.008,1,0.0571,134.962,4.0,0.564,1,Hotline Bling,Drake
1977,0.0707,0.947,150152,0.829,0.0,9,0.28,-5.337,0,0.361,129.991,4.0,0.837,0,Fuck Kd,StaRR Lyfe
1035,0.0165,0.443,223800,0.804,2.89e-06,10,0.181,-6.432,1,0.0406,151.928,4.0,0.437,0,Hurricane,Luke Combs
1155,0.97,0.549,206933,0.371,0.132,2,0.639,-9.56,1,0.0378,87.024,3.0,0.117,0,The Night We Met,Lord Huron
849,0.0263,0.739,257600,0.878,0.407,6,0.0477,-5.464,0,0.0788,126.705,4.0,0.855,1,Mary-Mary (M&M Unreleased Mix) [feat. Dajae],Grand High Priest
940,0.0004,0.804,434958,0.64,0.935,5,0.0812,-8.598,1,0.0404,124.007,4.0,0.0451,1,Let Me Tell U,Jimmy Edgar
1422,0.00589,0.662,267720,0.808,0.0,9,0.613,-3.06,1,0.122,76.493,4.0,0.448,0,Dead Presidents,Rick Ross
538,0.000183,0.596,178800,0.628,0.00767,5,0.187,-7.582,0,0.0503,139.965,4.0,0.52,1,Pale Flesh,Crystal Castles
1543,0.761,0.383,447280,0.131,0.194,7,0.0973,-17.764,1,0.033,98.606,4.0,0.0999,0,The Nearness Of You,Bill Charlap
985,0.2,0.739,556924,0.848,0.824,1,0.111,-4.598,0,0.0332,125.02,4.0,0.782,1,Let It Happen - Soulwax Remix,Tame Impala
2005,0.0216,0.526,216072,0.825,1.39e-06,5,0.426,-3.506,0,0.0875,150.181,4.0,0.108,0,Spoon Me - Slushii Remix,Elliphant
1134,0.00494,0.616,180267,0.961,0.0,11,0.078,-3.144,0,0.139,114.492,4.0,0.531,0,"Dance, Dance",Fall Out Boy
1902,0.0823,0.741,289133,0.748,0.0,0,0.34,-6.299,1,0.0264,127.965,4.0,0.616,0,I Gotta Feeling,The Black Eyed Peas
833,0.0319,0.846,328962,0.472,0.0398,0,0.1,-9.13,0,0.0662,124.984,4.0,0.671,1,Ain't got nobody,Sísý Ey
2011,0.000586,0.528,245053,0.879,0.00489,6,0.0432,-5.891,0,0.12,128.268,4.0,0.327,0,Brightside - Borgeous Remix,Icona Pop
1266,0.322,0.659,167711,0.848,0.0,4,0.243,-3.273,1,0.202,166.009,4.0,0.961,0,The Happy Song,Jamie Grace
596,0.0295,0.793,432800,0.978,0.0331,11,0.0764,-9.229,0,0.0648,124.922,4.0,0.711,1,Good Life - Original 12'' Mix,Inner City
11,0.0915,0.753,324880,0.748,0.00348,10,0.212,-8.62,1,0.0494,104.322,4.0,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü
21,0.00024,0.747,307680,0.74,0.369,1,0.0995,-4.134,1,0.0323,130.031,4.0,0.77,1,House of Jealous Lovers,The Rapture
436,0.0039,0.567,176893,0.876,0.0,9,0.531,-4.573,0,0.0376,114.902,4.0,0.697,1,Wild Window,Fool's Gold
1062,0.638,0.71,186627,0.498,0.0,4,0.0916,-5.478,1,0.0322,136.093,4.0,0.52,0,Just a Phase,Adam Craig
39,0.135,0.777,237187,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,4.0,0.848,1,Somebody's Watching Me,Rockwell
1515,0.922,0.535,297653,0.107,0.649,10,0.105,-18.989,0,0.0323,102.186,4.0,0.159,0,"Vid Frösö kyrka (At Frösö Church) - From Frösöblomster (Frösö Flowers) (arr. J. Ekberg, P.V. Johansson and L. Simonsson)",Trio X of Sweden
1879,0.00162,0.543,256733,0.912,2.1e-06,7,0.0565,-10.71,1,0.0601,103.731,4.0,0.83,0,Two Princes,Spin Doctors
563,0.135,0.691,264213,0.737,0.0291,10,0.127,-5.758,0,0.0447,108.049,4.0,0.675,1,See Blind Through,Canyons
1516,0.941,0.349,176297,0.227,0.819,6,0.109,-12.298,1,0.031,100.449,4.0,0.15,0,Jackie Gets Out,Terence Blanchard
1956,0.441,0.762,193160,0.705,0.0,4,0.118,-5.082,1,0.0991,119.439,4.0,0.776,0,Shaddap You Face,Joe Dolce
655,0.000183,0.695,295714,0.792,0.439,9,0.0638,-4.595,0,0.0328,112.008,4.0,0.424,1,Dill the Noise,Dillon Francis and Kill The Noise
1065,0.861,0.425,259280,0.372,0.0148,0,0.0733,-10.92,1,0.03,79.456,4.0,0.297,0,Tin Man,Miranda Lambert
577,0.0202,0.67,260853,0.544,0.00792,1,0.14,-9.643,0,0.124,140.037,4.0,0.331,1,Caramel,Booba
1968,0.0459,0.616,252040,0.91,0.0,0,0.343,-3.004,1,0.0386,144.073,4.0,0.684,0,Rockstar,Nickelback
1980,0.00574,0.682,192000,0.812,0.0,1,0.0553,-2.691,0,0.118,104.891,4.0,0.347,0,Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran
427,0.0101,0.569,305680,0.857,0.0145,7,0.141,-5.571,1,0.0337,104.981,4.0,0.291,1,"It's Not My Fault, I'm Happy",Passion Pit
809,0.615,0.508,174067,0.247,0.0352,0,0.166,-15.432,0,0.0748,200.749,3.0,0.484,1,Tupelo - Part 1,Pop Staples
126,0.107,0.645,591707,0.924,0.0266,10,0.0982,-7.697,0,0.0569,90.852,4.0,0.886,1,Water No Get Enemy - Edit,Fela Kuti
398,0.0414,0.811,312360,0.635,0.142,7,0.204,-8.394,1,0.0971,137.595,4.0,0.752,1,Leave House,Caribou
460,0.394,0.76,520133,0.971,0.775,5,0.138,-4.582,0,0.0549,125.439,4.0,0.992,1,Abataka - Original Mix,Ida Engberg
399,0.704,0.597,318261,0.721,0.0119,0,0.188,-9.433,1,0.0377,110.761,4.0,0.854,1,"Sweet Power, Your Embrace",James Mason
1241,0.0164,0.526,237467,0.692,0.0,4,0.0786,-3.895,1,0.0278,137.849,4.0,0.266,0,I Won't Let You Go - Radio Version,Switchfoot
760,0.00135,0.702,218483,0.74,0.896,5,0.0481,-5.949,0,0.173,145.05,4.0,0.583,1,Slasherr,Rustie
102,0.247,0.525,292760,0.643,0.0,5,0.106,-6.874,0,0.816,199.727,4.0,0.943,1,Willing & Able,Disclosure
950,0.514,0.731,515087,0.638,0.332,9,0.144,-8.738,0,0.144,143.018,4.0,0.33,1,Fight,Nicolas Jaar
1887,0.0108,0.743,243333,0.67,0.0702,1,0.22,-4.547,0,0.0293,110.832,4.0,0.934,0,Someday - Remastered,Sugar Ray
840,0.0185,0.609,377893,0.664,0.0195,7,0.105,-9.116,0,0.0472,105.976,4.0,0.0944,1,Too Bad I Have To Destroy You Now,Kid Cudi
156,0.00212,0.777,500550,0.739,0.868,9,0.109,-9.089,1,0.039,119.992,4.0,0.201,1,Acamar,Frankey
758,0.14,0.85,220347,0.534,0.000893,1,0.313,-5.278,1,0.322,98.004,4.0,0.963,1,Latino & Proud,DJ Raff
459,0.00254,0.812,237320,0.554,0.698,7,0.0558,-10.978,1,0.0567,123.289,4.0,0.786,1,White Horse,Laid Back
374,0.0487,0.289,273000,0.523,0.000293,6,0.0561,-9.531,1,0.0488,145.556,4.0,0.366,1,Walk On By - Single Version,Isaac Hayes
203,0.00731,0.567,343784,0.506,0.205,1,0.103,-8.742,1,0.0264,116.392,4.0,0.354,1,We Exist,Arcade Fire
1151,0.0575,0.741,223504,0.667,0.0,10,0.106,-5.445,1,0.134,112.956,4.0,0.609,0,No Promises (feat. Demi Lovato),Cheat Codes
450,0.0184,0.845,415371,0.59,0.00581,0,0.084,-8.225,1,0.0538,126.024,4.0,0.346,1,Principles,Benoit & Sergio
1302,0.00105,0.495,263687,0.955,0.0551,6,0.308,-4.181,1,0.0798,130.002,4.0,0.362,0,Dirty Waters,Into Oblivion
1075,0.279,0.655,178840,0.785,0.0,8,0.116,-4.022,1,0.0697,171.969,4.0,0.931,0,No Such Thing as a Broken Heart,Old Dominion
1716,0.0671,0.543,183960,0.852,0.0,1,0.0822,-3.737,1,0.0787,129.023,4.0,0.689,0,All About Tonight - featuring Cymphonique Miller,How To Rock Cast
1607,0.00623,0.654,236308,0.728,0.404,6,0.688,-8.477,0,0.0577,130.006,4.0,0.281,0,Nite Time - Ruby & Tony Radio Edit,George Acosta
